Light	Herbivory	Iteration	Plant	hac	hexenol	Hexenal
High	nw	it_2	3	0,903078534	6,65104712	3,931157068
High	nw	it_2	4	1,332494505	7,740659341	6,368241758
High	nw	it_2	5	1,224341346	7,675384615	5,559807692
High	nw	it_2	6	2,359156522	13,83513043	9,287478261
High	nw	it_2	7	1,081563953	8,674709302	5,254639535
High	nw	it_2	8	1,667622378	9,643706294	7,427342657
High	w	it_2	9	1,515425743	7,743316832	16,01094059
High	w	it_2	10	1,959929688	12,614375	20,62828125
High	w	it_2	11	1,044447917	7,407552083	14,98526042
High	w	it_2	12	2,484096296	10,80296296	21,98244444
High	w	it_2	13	1,192489933	9,368053691	18,52899329
High	w	it_2	14	2,41649162	8,98603352	15,74307263
High	w	it_2	15	1,949820513	10,22346154	20,6399359
High	w	it_2	16	1,920827815	10,96218543	22,09357616
Low	nw	it_2	17	0,946497778	6,165422222	7,127644444
Low	nw	it_2	18	1,222959538	8,446763006	7,078034682
Low	nw	it_2	19	1,597147368	7,767315789	8,328473684
Low	nw	it_2	20	2,043961538	10,81646154	8,857923077
Low	nw	it_2	21	0,773676113	5,072631579	5,583724696
Low	nw	it_2	22	1,338934783	9,272898551	12,14463768
Low	nw	it_2	23	0,228355405	9,917364865	9,104662162
Low	nw	it_2	24	1,0438	6,275913043	5,328217391
Low	w	it_2	25	3,128112903	13,51782258	23,39572581
Low	w	it_2	26	1,891772455	8,966886228	19,71946108
Low	w	it_2	27	0,895466667	7,891636364	20,50818182
Low	w	it_2	28	2,678362416	10,85154362	16,56583893
Low	w	it_2	29	2,007086331	10,83611511	18,42323741
Low	w	it_2	30	1,522260331	6,042066116	12,89169421
Low	w	it_2	31	2,786717391	11,65	17,89268116
Low	w	it_2	32	2,721084337	7,018072289	23,54114458
High	nw	it_3	1	1,193653061	11,83904762	8,60244898
High	nw	it_3	2	1,928572368	10,21440789	7,149407895
High	nw	it_3	3	1,511664921	6,021780105	2,574958115
High	nw	it_3	4	1,016521978	6,882857143	3,243269231
High	nw	it_3	5	0,869932692	7,454182692	5,564230769
High	nw	it_3	6	1,96146087	11,34495652	9,585130435
High	nw	it_3	7	0,982563953	8,109767442	5,313825581
High	nw	it_3	8	1,453629371	10,08685315	7,548811189
High	w	it_3	9	1,366509901	6,879059406	11,19574257
High	w	it_3	10	1,516742188	12,08210938	15,04421875
High	w	it_3	11	0,863401042	7,110572917	10,23348958
High	w	it_3	12	2,433666667	10,17585185	16,66377778
High	w	it_3	13	2,212181208	8,559060403	15,66798658
High	w	it_3	14	1,908541899	9,245363128	12,83837989
High	w	it_3	15	2,021608974	8,837115385	12,51980769
High	w	it_3	16	2,394218543	9,504172185	15,33324503
Low	nw	it_3	17	0,240788	6,399333333	6,338844444
Low	nw	it_3	18	1,005716763	6,001098266	6,725780347
Low	nw	it_3	19	0,717926316	7,941894737	6,452526316
Low	nw	it_3	20	1,811330769	10,80823077	10,41046154
Low	nw	it_3	21	0,487680162	5,808987854	5,004251012
Low	nw	it_3	22	1,380123188	9,805797101	11,58804348
Low	nw	it_3	23	1,522972973	8,729121622	9,105405405
Low	nw	it_3	24	0,882952174	5,660478261	5,785782609
Low	w	it_3	25	3,727330645	12,78516129	20,19532258
Low	w	it_3	26	1,960287425	8,208443114	14,31646707
Low	w	it_3	27	2,0048	9,435636364	15,31569697
Low	w	it_3	28	2,498651007	11,74865772	11,80624161
Low	w	it_3	29	1,58276259	9,905179856	12,81223022
Low	w	it_3	30	1,433702479	6,331859504	10,88123967
Low	w	it_3	31	2,895246377	11,51702899	12,84644928
Low	w	it_3	32	2,194385542	7,348072289	17,69475904
High	nw	it_4	1	2,341306122	10,48843537	6,104095238
High	nw	it_4	2	2,230296053	10,29019737	7,033881579
High	nw	it_4	3	1,537146597	7,660942408	4,145963351
High	nw	it_4	4	0,999214286	7,305604396	4,925554945
High	nw	it_4	5	1,580817308	7,939038462	5,389567308
High	nw	it_4	6	2,151747826	11,94156522	7,250965217
High	nw	it_4	7	1,486773256	6,737674419	6,061104651
High	nw	it_4	8	1,714671329	9,533636364	4,750853147
High	w	it_4	9	1,546207921	6,146534653	11,83262376
High	w	it_4	10	2,247742188	6,82965625	12,633125
High	w	it_4	11	1,062541667	6,791770833	9,577864583
High	w	it_4	12	2,25157037	10,46296296	14,114
High	w	it_4	13	1,992704698	9,647114094	10,78436242
High	w	it_4	14	2,984458101	9,065921788	8,426759777
High	w	it_4	15	2,44924359	7,884615385	10,39641026
High	w	it_4	16	2,258649007	9,328741722	12,78311258
Low	nw	it_4	17	0,70556	5,534622222	6,506533333
Low	nw	it_4	18	1,45149711	7,580809249	7,088439306
Low	nw	it_4	19	1,753621053	7,126842105	7,028105263
Low	nw	it_4	20	1,266692308	8,871615385	9,047923077
Low	nw	it_4	21	0,873587045	5,038663968	6,290121457
Low	nw	it_4	22	1,778818841	8,02884058	9,683478261
Low	nw	it_4	23	1,559648649	8,268648649	8,697837838
Low	nw	it_4	24	0,701895652	5,538304348	6,793956522
Low	w	it_4	25	3,129298387	12,93540323	17,7708871
Low	w	it_4	26	1,277035928	6,873532934	11,79047904
Low	w	it_4	27	2,132248485	7,766969697	12,56381818
Low	w	it_4	28	2,887731544	10,20248322	10,07181208
Low	w	it_4	29	2,558561151	9,594964029	11,63503597
Low	w	it_4	30	1,145243802	6,026735537	7,990041322
Low	w	it_4	31	2,611826087	11,0684058	12,53282609
Low	w	it_4	32	2,002656627	7,033313253	14,85668675
High	nw	it_5	1	2,331	10,72455782	8,950816327
High	nw	it_5	2	2,609717105	9,429144737	6,849868421
High	nw	it_5	3	1,645267016	5,303664921	4,900157068
High	nw	it_5	4	0,718653846	7,096208791	4,578554945
High	nw	it_5	5	1,437533654	6,276634615	4,562774038
High	nw	it_5	6	2,335208696	11,79643478	9,538869565
High	nw	it_5	7	0,655337209	7,278139535	5,006389535
High	nw	it_5	8	1,72227972	8,242097902	7,647972028
High	w	it_5	9	1,745584158	6,580643564	8,303217822
High	w	it_5	10	2,071492188	10,55328125	9,184375
High	w	it_5	11	0,622520833	6,875416667	8,846927083
High	w	it_5	12	1,231548148	9,414	12,17681481
High	w	it_5	13	1,891248322	8,994832215	7,938456376
High	w	it_5	14	2,690843575	8,541396648	8,580502793
High	w	it_5	15	1,608423077	7,560897436	9,232628205
High	w	it_5	16	1,341701987	9,744238411	10,02980132
Low	nw	it_5	17	0,015993733	5,491288889	6,836
Low	nw	it_5	18	1,174693642	6,604682081	5,930982659
Low	nw	it_5	19	1,662005263	6,716684211	7,378631579
Low	nw	it_5	20	1,2554	7,854692308	10,71461538
Low	nw	it_5	21	0,7028583	4,761052632	5,287408907
Low	nw	it_5	22	1,896304348	9,338550725	8,504855072
Low	nw	it_5	23	1,322682432	8,969324324	9,115
Low	nw	it_5	24	0,816913043	4,756869565	6,018478261
Low	w	it_5	25	4,032919355	12,01701613	14,83258065
Low	w	it_5	26	2,009802395	4,968922156	9,88257485
Low	w	it_5	27	0,061551515	8,063212121	11,4429697
Low	w	it_5	28	0,839275168	9,009395973	11,11040268
Low	w	it_5	29	3,129856115	9,084316547	11,14683453
Low	w	it_5	30	1,544801653	6,055578512	7,442644628
Low	w	it_5	31	0,778210145	9,841811594	9,84673913
Low	w	it_5	32	2,066054217	7,305843373	14,50831325
High	nw	it_6	1	2,232251701	8,818095238	7,226394558
High	nw	it_6	2	1,432625	9,461447368	5,657276316
High	nw	it_6	3	1,178455497	6,500837696	4,647722513
High	nw	it_6	4	0,837956044	6,643791209	5,760164835
High	nw	it_6	5	1,563581731	6,402019231	3,924918269
High	nw	it_6	6	2,413269565	11,41365217	7,2452
High	nw	it_6	7	0,91647093	6,772848837	5,860930233
