Emitter	Vol_Emitter	Light_Emitter	Receiver	Experiment	Iteration	Plant	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
B	hipvs	High_RFR	Low_RFR	2	6	11	41,77406667	26,5424	7,893	11,94606667	1,61332
B	hipvs	High_RFR	Low_RFR	3	6	12	55,91009615	23,10649038	10,93831731	10,83942308	1,2770625
B	hipvs	High_RFR	Low_RFR	1	6	13	59,69741697	21,66841328	8,779557196	16,99132841	1,144771218
B	hipvs	High_RFR	Low_RFR	2	6	14	78,90934959	37,8154878	9,923617886	20,27922764	1,635357724
B	hipvs	High_RFR	Low_RFR	3	6	15	43,28294574	23,78771318	6,374651163	14,57705426	0,579593023
B	hipvs	High_RFR	Low_RFR	1	6	16	120,902623	61,91983607	10,92437705	25,47672131	2,059295082
B	hipvs	High_RFR	Low_RFR	2	6	17	63,06100629	38,74616352	8,748993711	14,32176101	1,545830189
B	hipvs	High_RFR	Low_RFR	3	6	18	58,13715847	23,00775956	7,579672131	10,6563388	1,257333333
E	constitutive	Low_RFR	Low_RFR	1	6	19	59,10128378	45,11945946	9,811689189	17,54831081	1,779513514
E	constitutive	Low_RFR	Low_RFR	2	6	20	59,07477064	54,73440367	15,65614679	32,82949541	1,294614679
E	constitutive	Low_RFR	Low_RFR	3	6	21	50,6226087	27,32191304	10,12182609	9,855608696	1,368595652
E	constitutive	Low_RFR	Low_RFR	1	6	22	59,3437013	34,69720779	11,71772727	17,4762987	1,727337662
E	constitutive	Low_RFR	Low_RFR	2	6	23	33,30361345	29,68466387	7,836470588	17,79281513	1,212840336
E	constitutive	Low_RFR	Low_RFR	3	6	24	62,62554348	33,46021739	8,237282609	20,34494565	1,445081522
E	constitutive	Low_RFR	Low_RFR	1	6	25	91,40731707	75,36097561	10,9727439	29,48841463	2,148268293
E	constitutive	Low_RFR	Low_RFR	2	6	26	87,72696629	67,89719101	10,76713483	19,98589888	1,837966292
E	constitutive	Low_RFR	Low_RFR	3	6	27	45,89921348	31,76061798	8,956516854	9,111460674	1,831747191
F	hipvs	Low_RFR	Low_RFR	1	6	28	33,69176871	31,03510204	14,88401361	24,79122449	1,433965986
F	hipvs	Low_RFR	Low_RFR	2	6	29	94,61111111	81,53686869	18,94575758	33,75651515	1,885580808
F	hipvs	Low_RFR	Low_RFR	3	6	30	48,04253886	33,94564767	10,86316062	23,24476684	1,00338342
F	hipvs	Low_RFR	Low_RFR	1	6	31	60,17936508	31,84948413	8,852380952	18,42111111	1,064718254
F	hipvs	Low_RFR	Low_RFR	2	6	32	51,5650655	45,12532751	8,805152838	9,024454148	1,580716157
F	hipvs	Low_RFR	Low_RFR	3	6	33	62,59175258	38,07036082	11,22613402	28,94170103	1,273958763
